CancerType	Gene	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
KICH	CENPI	0.899186661584283	1	0.335486367652306	0.659261728404048	1	0.658771531998564	1	0.0144176353387094	0.310380407301244	0.176111302541775	0.160218128526961	0.275344416027427	0.34333822575372	0.688271900180267	0.0049851602238854	0.277366336358755	0.758409408629978	0.585312224378792	0.719217824822819	1	0.996617751912889	0.795514056178158
KIRC	CENPI	0.495111266319028	0.739753200858918	0.108213424386597	0.720945873058694	1	0.464571715803251	0.000153885973405296	0.177860706847525	0.466369293956643	0.57026576265634	0.00455170717170349	0.43620577706686	0.00373746622976056	0.0187193223312799	1.61173145158407e-05	0.779607419588669	0.702363370236398	9.22343090201708e-07	0.0061795028198502	1	1	0.0212082177888532
KIRP	CENPI	0.0963229026692263	0.5834624611311	0.723268553028242	0.0838455894139999	1	0.342167008200067	0.000637075928477163	1.5515206381176e-08	0.497349688145545	1	0.560435834139532	0.00533157379801854	0.435106591478158	0.000213004469689331	3.59462173947406e-09	3.1880785940284e-05	0.0317090207458509	0.407316912734153	0.496802931975433	1	1	0.514771174524726
LAML	CENPI	0.269845315740576	0.689834656831941	0.0212403360564844	0.019044735919892	0.711792437946493	0.906680535492352	0.916253961679548	1	1	0.201028725417847	0.633217427849894	0.2155854616458	0.298543201051745	1	1	0.0939588209368621	1	1	0.0422811444219914	1	0.526198270114471	0.0720291560609879
LGG	CENPI	0.438316766216092	0.578764615408607	1	0.903034193569824	1	4.93473665530706e-05	1	0.0137748199382409	1	1	0.929576424027728	0.41832607957961	0.000600801556159751	0.00457656308428876	4.58501703538143e-07	0.778920353232609	0.614201864548591	1	0.961095133940337	0.0028490794609934	0.502672088751975	0.0196038459464949
LIHC	CENPI	0.00364314453169753	1	0.861911842403585	0.314442108459664	1	0.440957215367215	0.00270038795673133	1.3247984385286e-08	0.328811340143795	0.00185190046898893	0.0148823056332523	0.0259135576911721	0.127908500516253	0.000297222914916019	0.356931034388216	3.91514769116837e-05	0.00326111083688039	0.361122938269805	0.0508532992246862	1	1	0.665038350675928
LUAD	CENPI	0.990127371967007	0.339428894325201	0.195108313482039	0.252193044616482	1	0.0010252722034328	1.28260275916859e-21	0.296426148950594	0.0133919832061278	0.0416822623381088	1	0.510057705222242	0.000510119704158187	4.51610850889433e-12	4.35771587781429e-18	0.178101892382926	8.34105025109734e-16	0.660870760115003	6.54026235203736e-18	1	0.0515104302910737	0.021704985483484
LUSC	CENPI	0.131881193715257	0.131270785457817	0.236500648955198	0.786496784368566	1	0.0972025759439264	0.986092988768637	0.144787439836787	0.00015241940539782	1	0.76109337731538	0.0897049660715391	0.00268653259171319	0.00106352293057373	0.000325688624215149	0.153806106148386	0.00628457483673669	0.153007951444076	0.0839318056194912	0.684228637147527	0.954587723019878	0.389911420367836
MESO	CENPI	0.278227450603565	0.524145117184692	0.0192195584090975	0.378284124964906	1	0.273993191303172	0.931558439161463	0.374091310196379	0.0304752655995495	1	1	0.534555502381387	0.611493010731057	0.472181604780007	0.0288778816082034	0.0363384597460686	0.0599090407871992	0.0389709813240679	0.0176988322868643	1	1	0.386526747010426
OV	CENPI	0.288176800737312	0.0817726084993093	0.614706254272381	0.0427496253292632	1	0.794595645002648	0.409500373500982	0.000880675990937848	0.124059297704004	0.970129097101424	1	0.719911429008863	0.164920293963305	0.00643815604244263	0.0831601824966656	0.515026865087191	0.0399421476849757	0.1555313898098	0.497719396030495	0.203277474554006	1	0.50665209532784
PAAD	CENPI	0.0195936568468756	0.0765733755010133	0.156327973640949	0.00516468899709165	1	0.0501068997039535	0.342169759480293	0.236214458610806	0.206098685530861	1	0.697762343998688	0.276991367592828	0.00236634045198825	0.0209219365446638	0.00488042189776487	0.730266832081357	0.481714528393726	0.0640579674476897	0.143299179255524	1	1	0.26236000933751
PCPG	CENPI	0.698077328703399	0.0219060698090006	0.00843657228601837	0.403620605109663	1	0.301710487331888	0.0329635218324348	0.274394292583227	0.943629679101515	1	0.0207421909676709	0.000435662991104912	0.866817081314189	0.0399328042859703	0.498102529054949	0.0395982194636603	0.410430673638739	0.51058234031537	0.961027935766616	0.470361030006055	0.469542737119253	0.725974167813347
PRAD	CENPI	2.94049820680579e-05	0.0495523789673366	0.000643522402914093	5.32160116547128e-08	1	0.0945768221607637	0.103362494814755	0.557621256431468	0.0925357942341293	1	1	0.249751572669573	0.255831908781054	0.48490112558954	0.00138062106278933	0.330007094724519	0.00436674511836173	0.573218111118791	0.0034002415427638	1	1	1
READ	CENPI	0.121580403217814	0.115243242665861	0.854367547988669	0.359622835442313	1	0.159651726699914	0.0165676001976792	0.00175803187872833	0.078363913623539	1	0.900497471165745	0.566270462331423	0.820961784337942	0.644954822441578	0.0956694037619545	0.756432386695547	0.00283188729685643	0.00368551386117112	0.388222155506722	0.0206673507869418	0.434740458369379	0.0211949605782741
SARC	CENPI	0.0108395783206733	1	0.471112294726912	0.517525570927414	1	0.935302031794594	0.0713654539447873	0.00268741332197328	0.472745792071686	0.0255049584881159	1	0.226881492086786	0.100361099729104	0.000129355602959381	0.0189308784975283	0.473482046421128	0.752743440401377	0.700641266592944	0.0696157992813653	0.2914243283622	1	1
SKCM	CENPI	0.588032297208968	0.444235002365339	0.026486918969506	0.0256746976462875	1	0.0276239236785282	0.000826090884368237	0.501391330512934	3.71241161257106e-08	0.305288547674628	0.88641254806554	0.559772963029255	0.464574587517487	0.87382218930751	1.19387013514743e-06	0.576095163817642	0.151086052944243	0.901078280611527	0.638603717798859	0.118952659749474	1	0.555453542766386
STAD	CENPI	0.0545489585160154	0.0750918551062677	0.840523391617312	0.181146674905981	1	0.719470139185932	3.13281954120287e-07	9.25814088074038e-08	0.00224343773439133	1	0.0291141787571849	0.424822666149868	6.64396092369508e-05	1.77028132617652e-08	3.72038671251912e-05	0.0141270590332037	0.0110616859380471	0.114142706961696	4.01090897521031e-10	0.257267882971869	0.906855889709515	0.231285431090453
TGCT	CENPI	0.00473009867884847	0.554456660104552	0.146210748070526	0.778640926812266	1	0.382278833505099	0.0955820110502245	0.00611588516997626	0.139379523314142	1	1	0.0466781114483345	0.593851792541164	0.785216036787232	0.60035639934777	7.74754445258491e-05	0.066169327106049	0.227091170528181	0.93900540385121	1	1	1
THCA	CENPI	1.13080581097799e-06	0.0236008779893444	0.475264771203391	0.0559832007988931	1	0.15449509497724	6.55083668812857e-11	9.22334886906881e-06	0.643166439428205	0.974576981209312	0.0615210675840854	0.0338500100647439	0.683703823769147	0.0125021943060181	1.34404632538543e-06	5.56172507851786e-09	0.00181116040075487	0.0101475526768015	0.0424990844154847	1	1	1
THYM	CENPI	0.605013996482311	0.0271167967984308	0.615433874310861	0.324924770364606	2.9346014757388e-06	0.0165725657439376	0.593384230815628	0.0289342281367179	0.0786409287219191	0.0284836425219662	0.000748032525658725	4.65998998078332e-08	0.468974714252097	1.4681471963399e-07	0.000227096728619006	6.71132060130770e-11	3.67952053260986e-11	0.00663295320290679	8.34815771985089e-15	1	1	1
UCEC	CENPI	0.26447806963231	0.950713344930305	0.00367272365175679	0.176214565434582	1	0.518114798731632	1.9478215551147e-05	1.10114244569439e-06	5.82541444359207e-08	0.0395053367589852	0.718672681948555	0.000439421768446523	0.0236624655682136	0.49670678316237	1.9619255547957e-07	0.823996105919643	0.00618019164475008	0.0041917605306723	0.110613473058501	0.24640530729037	1	0.0993333375202447
UCS	CENPI	0.922804843249347	0.483326423522967	0.110959403706597	0.784905382842557	1	0.993625702109196	0.585642513112448	0.750827057522026	0.6306029671999	0.0903935334424493	0.327943818332264	0.756601656464513	0.998535495095094	0.980878684548704	0.220967752895697	0.403357756481945	0.505861507856033	0.55100654933773	0.413269717642406	0.881118084172059	1	0.831827314412359
UVM	CENPI	0.0242887982263354	1	0.00363394063445961	0.792145557725211	1	0.517158902679228	0.00387761793266694	0.0284216918799537	0.169060111124936	0.627161800249844	0.888088342594995	0.0460226674368497	0.0096266013908786	0.532166315193633	0.0470989429268879	0.385188021409148	0.315348796809924	1	0.618940155696091	1	1	1
